Name,Armor Class,Hit Points,Speed,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Skills,Damage Immunities,Damage Resistances,Damage Vulnerabilities,Condition Immunities,Senses,Languages,Challenge,attacks&moves,Hit Dice,Armor Note
Darkling Elder,15,27,30 ft.,13,17,12,10,14,13,,"Acrobatics +5, Deception +3, Perception +6, Stealth +7",None,None,None,None,"lindsight 30 ft., darkvision 120 ft.","Elvish, Sylvan",2 (450 XP),"{'Death Burn': ""When the darkling elder dies, magical light flashes out from it in a 10-foot radius as its body and possessions, other than metal or magic objects, burn to ash. Any creature in that area must make a DC 11 Constitution saving throw. On a failure, the creature takes 7 (2d6) radiant damage and, if the creature can see the light, is blinded until the end of its next turn. If the saving throw is successful, the creature takes half the damage and isn't blinded."", 'Multiattack': 'The darkling elder makes two melee attacks.', 'Shortsword': 'Melee Weapon Attack: +5 to hit, reach 5 fit, one target. Hit: 6 (1d6+3) piercing damage. If the darkling elder had advantage on the attack roll, the attack deals as: extra 10 (3d6) piercing damage.', 'Darkness (Recharges after a Short or Long Rest)': ""The darkling elder casts darkness without any components. Wisdom is its spellcasting ability.\n\nSource:Volo's Guide to Monsters""}",5d8+5,studded leather armor
Darkmantle,11,22,"10 ft., fly 30 ft.",16,12,13,2,10,5,,Stealth +3,None,None,None,None,lindsight 60 ft.,,1/2 (100 XP),"{'Echolocation': ""The darkmantle can't use its blindsight while deafened."", 'False Appearance': 'While the darkmantle remains motionless, it is indistinguishable from a cave formation such as a stalactite or stalagmite.', 'Crush': ""Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d6 + 3) bludgeoning damage, and the darkmantle attaches to the target. If the target is Medium or smaller and the darkmantle has advantage on the attack roll, it attaches by engulfing the target's head, and the target is also blinded and unable to breathe while the darkmantle is attached in this way.\n\nWhile attached to the target, the darkmantle can attack no other creature except the target but has advantage on its attack rolls. The darkmantle's speed also becomes 0, it can't benefit from any bonus to its speed, and it moves with the target.\n\nA creature can detach the darkmantle by making a successful DC 13 Strength check as an action. On its turn, the darkmantle can detach itself from the target by using 5 feet of movement."", 'Darkness Aura (1/day)': ""A 15-foot radius of magical darkness extends out from the darkmantle, moves with it, and spreads around corners. The darkness lasts as long as the darkmantle maintains concentration, up to 10 minutes (as if concentrating on a spell). Darkvision can't penetrate this darkness, and no natural light can illuminate it. If any of the darkness overlaps with an area of light created by a spell of 2nd level or lower, the spell creating the light is dispelled.""}",5d6+5,None
Darz Helgar,12,27,30 ft.,15,15,12,10,11,11,,"Intimidation +2, Sleight of Hand +4, Stealth +4",None,None,None,None,,Common,0 (10 XP),"{'Sneak Attack (1/turn)': ""Darz deals an extra 7 (2d6) damage when he hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of Darz that isn't incapacitated and Darz doesn't have disadvantage on the attack roll."", 'Roleplaying Information': 'In his youth, Darz was a member of the Xanathar Thieves\' Guild in Waterdeep. After serving ten years in prison for his crimes, he cut all ties to the city and moved north to be a campground caretaker.\n\nIdeal: ""You csan run from your past, but you can\'t hide from it.""\n\nBond: ""I\'ve made a new life in Triboar. I\'m not gonna run away this time. ""\n\nFlaw: ""I have no regrets. I do whatever it takes to survive.""', 'Shortsword': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6+2) piercing damage.', 'Sling': ""Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4+2) piercing damage. Darz carries twenty sling stones.\n\nSource:Storm King's Thunde""}",5d8+5,None
Death Dog,12,39,40 ft.,15,14,14,3,13,6,,"Perception +5, Stealth +4",None,None,None,None,darkvision 120 ft.,,1 (200 XP),"{'Two-Headed': 'The dog has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, or knocked unconscious.', 'Multiattack': 'The dog makes two bite attacks.', 'Bite': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. If the target is a creature, it must succeed on a DC 12 Constitution saving throw against disease or become poisoned until the disease is cured. Every 24 hours that elapse, the creature must repeat the saving throw, reducing its hit point maximum by 5 (1d10) on a failure. This reduction lasts until the disease is cured. The creature dies if the disease reduces its hit point maximum to 0.'}",6d8+12,None
Death Kiss,16,161,"0 ft., fly 30 ft. (hover)",18,14,18,10,12,10,"Con +8, Wis +5",Perception +5,lightning,None,None,prone,darkvision 120 ft.,"Deep Speech, Undercommon","10 (5,900 XP)","{'Lightning Blood': 'A creature within 5 feet of the death kiss takes 5 (1d10) lightning damage whenever it hits the death kiss with a melee attack that deals piercing or slashing damage.', 'Multiattack': 'The death kiss makes three tentacle attacks. Up to three of these attacks can be replaced by Blood Drain, one replacement per tentacle grappling a creature', 'Tentacle': ""Melee Weapon Attack: +8 to hit, reach 20 ft., one target. Hit: 14 (3d6+4) piercing damage, and the target is grappled (escape DC 14) if it is a Huge or smaller creature. Until this grapple ends, the target is restrained, and the death kiss can't use the same tentacle on another target. The death kiss has ten tentacles."", 'Blood Drain': ""One creature grappled by a tentacle of the death kiss must make a DC 16 Constitution saving throw. On a failed save, the target takes 22 (4d10) lightning damage, and the death kiss regains half as many hit points.\n\nSource:Volo's Guide to Monsters""}",17d10+68,natural armor
Death Knight,20,180,30 ft.,20,11,20,12,16,18,"Dex +6, Wis +9, Cha +10",,"necrotic, poison",None,None,"exhaustion, frightened, poisoned",darkvision 120 ft.,"Abyssal, Common","17 (18,000 XP)","{'Undead Nature': ""A death knight doesn't require air, food, drink, or sleep."", 'Magic Resistance': 'The death knight has advantage on saving throws against spells and other magical effects.', 'Marshal Undead': 'Unless the death knight is incapacitated, it and undead creatures of its choice within 60 feet of it have advantage on saving throws against features that turn undead.', 'Spellcasting': 'The death knight is a 19th-level spell caster. Its spellcasting ability is Charisma (spell save DC 18, +10 to hit with spell attacks). It has the following paladin spells prepared: \n\n1st level (4 slots): command, compelled duel, searing smite\n2nd level (3 slots): hold person, magic weapon\n3rd level (3 slots): dispel magic, elemental weapon\n4th level (3 slots): banishment, staggering smite\n5th level (2 slots): destructive wave (necrotic)', 'Multiattack': 'The death knight makes three longsword attacks.', 'Longsword': 'Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) slashing damage, or 10 (1d10 + 5) slashing damage if used with two hands, plus 18 (4d8) necrotic damage.', 'Hellfire Orb (1/day)': 'The death knight hurls a magical ball of fire that explodes at a point it can see within 120 feet of it. Each creature in a 20-foot-radius sphere centered on that point must make a DC 18 Dexterity saving throw. The sphere spreads around corners. A creature takes 35 (10d6) fire damage and 35 (10d6) necrotic damage on a failed save, or half as much damage on a successful one.', 'Parry': 'The death knight adds 6 to its AC against one melee attack that would hit it. To do so, the death knight must see the attacker and be wielding a melee weapon.'}",19d8+95,"plate, shield"
Death Slaad,18,170,30 ft.,20,15,19,15,10,16,,"Arcana +6, Perception +8",None,"acid, cold, fire, lightning, thunder",None,None,"lindsight 60 ft., darkvision 60 ft.","Slaad, telepathy 60 ft.","10 (5,900 XP)","{'Shapechanger': ""The slaad can use its action to polymorph into a Small or Medium humanoid, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies."", 'Innate Spellcasting': ""The slaad's innate spellcasting ability is Charisma (spell save DC 15, +7 to hit with spell attacks). The slaad can innately cast the following spells, requiring no material components: \n\nAt will: detect magic, detect thoughts, invisibility (self only), mage hand, major image\n\n2/day each: fear, fireball, fly, tongues\n\n1/day each: cloudkill, plane shift"", 'Magic Resistance': 'The slaad has advantage on saving throws against spells and other magical effects', 'Magic Weapons': ""The slaad's weapon attacks are magical."", 'Regeneration': 'The slaad regains 10 hit points at the start of its turn if it has at least 1 hit point.', 'Variant: Control Gem': ""Implanted in the slaad's brain is a magic control gem. The slaad must obey whoever possesses the gem and is immune to being charmed while so controlled.\n\nCertain spells can be used to acquire the gem. If the slaad fails its saving throw against imprisonment, the spell can transfer the gem to the spellcaster's open hand, instead of imprisoning the slaad. A wish spell, if cast in the slaad's presence, can be worded to acquire the gem.\n\nA greater restoration spell cast on the slaad destroys the gem without harming the slaad.\n\nSomeone who is proficient in Wisdom (Medicine) can remove the gem from an incapacitated slaad. Each try requires 1 minute of uninterrupted work and a successful DC 20 Wisdom (Medicine) check. Each failed attempt deals 22 (4d10) psychic damage to the slaad."", 'Multiattack': 'The slaad makes three attacks: one with its bite and two with its claws or greatsword.', 'Bite (Slaad Form Only)': 'Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) piercing damage plus 7 (2d6) necrotic damage.', 'Claws (Slaad Form Only)': 'Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 10 (1d10 + 5) slashing damage plus 7 (2d6) necrotic damage.', 'Greatsword': 'Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage plus 7 (2d6) necrotic damage.'}",20d8+80,natural armor
Death Tyrant,19,187,"0 ft., fly 20 ft. (hover)",10,14,14,19,15,19,"Str +5, Con +7, Int +9, Wis +7, Cha +9",Perception +12,poison,None,None,"charmed, exhaustion, paralyzed, petrified, poisoned, prone",darkvision 120 ft.,"Deep Speech, Undercommon","14 (11,500 XP)","{'Negative Energy Cone': ""The death tyrant's central eye emits an invisible, magical 150-foot cone of negative energy. At the start of each of its turns, the tyrant decides which way the cone faces and whether the cone is active.\n\nAny creature in that area can't regain hit points. Any humanoid that dies there becomes a zombie under the tyrant's command. The dead humanoid retains its place in the initiative order and animates at the start of its next turn, provided that its body hasn't been completely destroyed."", 'Bite': 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 14 (4d6) piercing damage.', 'Eye Rays': ""The death tyrant shoots three of the following magical eye rays at random (reroll duplicates), choosing one to three targets it can see within 120 ft. of it:\n\n1. Charm Ray. The targeted creature must succeed on a DC 17 Wisdom saving throw or be charmed by the death tyrant for 1 hour, or until the death tyrant harms the creature.\n\n2. Paralyzing Ray. The targeted creature must succeed on a DC 17 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.\n\n3. Fear Ray. The targeted creature must succeed on a DC 17 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.\n\n4. Slowing Ray. The targeted creature must succeed on a DC 17 Dexterity saving throw. On a failed save, the target's speed is halved for 1 minute. In addition, the creature can't take reactions, and it can take either an action or a bonus action on its turn, not both. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.\n\n5. Enervation Ray. The targeted creature must make a DC 17 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one.\n\n6. Telekinetic Ray. If the target is a creature, it must succeed on a DC 17 Strength saving throw or the death tyrant moves it up to 30 ft. in any direction. It is restrained by the ray's telekinetic grip until the start of the death tyrant's next turn or until the death tyrant is incapacitated.\n\nIf the target is an object weighing 300 pounds or less that isn't being worn or carried, it is moved up to 30 ft. in any direction. The death tyrant can also exert fine control on objects with this ray, such as manipulating a simple tool or opening a door or a container.\n\n7. Sleep Ray. The targeted creature must succeed on a DC 17 Wisdom saving throw or fall asleep and remain unconscious for 1 minute. The target awakens if it takes damage or another creature takes an action to wake it. This ray has no effect on constructs and undead.\n\n8. Petrification Ray. The targeted creature must make a DC 17 Dexterity saving throw. On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restoration spell or other magic.\n\n9. Disintegration Ray. If the target is a creature, it must succeed on a DC 17 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust.\n\nIf the target is a Large or smaller nonmagical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger object or creation of magical force, this ray disintegrates a 10-foot cube of it.\n\n10. Death Ray. The targeted creature must succeed on a DC 17 Dexterity saving throw or take 55 (10d10) necrotic damage. The target dies if the ray reduces it to 0 hit points."", 'Legendary Actions': ""The death tyrant can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The death tyrant regains spent legendary actions at the start of its turn."", 'Eye Ray': 'The death tyrant uses one random eye ray.'}",25d10+50,natural armor
Deathlock Wight,12,37,30 ft.,11,14,16,12,14,16,Wis +4,"Arcana +3, Perception +4",poison,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",None,"exhaustion, poisoned",darkvision 60 ft.,the languages it knew in life,3 (700 XP),"{'Source': 'tales from the yawning portal,  page 233', 'Undead Nature': ""A wight doesn't require air, food, drink, or sleep."", 'Innate Spellcasting': ""The wight's innate spellcasting ability is Charisma (spell save DC 13). It can innately cast the following spells, requiring no verbal or material components:\n\nAt will: detect magic, disguise self, mage armor \n\n1/day each:fear, hold person, misty step"", 'Sunlight Sensitivity': 'While in sunlight, the wight has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.', 'Multiattack': 'The wight attacks twice with Grave Bolt.', 'Grave Bolt': 'Ranged Spell Attack: +5 to hit, range 120 ft., one target. Hit: 7 (1d8 + 3) necrotic damage.', 'Life Drain': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 9 (2d6 + 2) necrotic damage. The target must succeed on a DC 13 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.'}",5d8+15,15 with mage armor
Deep Gnome (Svirfneblin),15,16,20 ft.,15,14,14,12,10,9,,"Investigation +3, Perception +2, Stealth +4",None,None,None,None,darkvision 120 ft.,"Gnomish, Terran, Undercommon",1/2 (100 XP),"{'Stone Camouflage': 'The gnome has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.', 'Gnome Cunning': 'The gnome has advantage on Intelligence, Wisdom, and Charisma saving throws against magic.', 'Innate Spellcasting': ""The gnome's innate spellcasting ability is Intelligence (spell save DC 11). It can innately cast the following spells, requiring no material components: \n\nAt will: nondetection (self only)\n\n1/day each: blindness/deafness, blur, disguise self"", 'War Pick': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.', 'Poisoned Dart': 'Ranged Weapon Attack: +4 to hit, range 30/120 ft., one creature. Hit: 4 (1d4 + 2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success'}",3d6+6,chain shirt
Deep Rothe,10,13,30 ft.,18,10,14,2,10,4,,,None,None,None,None,darkvision 60 ft.,,1/4 (50 XP),"{'Charge': 'If the rothe moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 7 (2d6) piercing damage.', 'Innate Spellcasting': ""The deep rothe's spellcasting ability is Charisma. It can innately cast dancing lights at will, requiring no components."", 'Gore': ""Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6+4) piercing damage.\n\nSource:Volo's Guide to Monsters""}",2d8+4,None
Deep Scion,11,67,30 ft. (20 ft. and swim 40 ft. in hybrid form),18,13,16,10,12,14,"Wis +3, Cha +4","Deception +6, Insight +3, Sleight of Hand +3, Stealth +3",None,None,None,None,darkvision 120 ft.,"Aquan, Common, thieves' cant",3 (700 XP),"{'Shapechanger': ""The deep scion can use its action to polymorph into a humanoid-piscine hybrid form, or back into its true form. Its statistics, other than its speed, are the same in each form. Any equipment it is wearing or carrying isn't transformed. The deep scion reverts to its true form if it dies."", 'Amphibious (Hybrid Form Only)': 'The deep scion can breathe air and water.', 'Multiattack': 'In humanoid form, the deep scion makes two melee attacks. In hybrid form, the deep scion makes three attacks: one with its bite and two with its claws.', 'Battleaxe (Humanoid Form Only)': 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8+4) slashing damage, or 9 (1d10+4) slashing damage if used with two hands.', 'Bite (Hybrid Form Only)': 'Melee Weapon Attack: +6 to hit, reach 5 ft, one creature. Hit: 6 (1d4+4) piercing damage.', 'Claw (Hybrid Form Only)': 'Melee Weapon Attack: +6 to hit, reach 5 ft, one target. Hit: 7 (1d6+4) slashing damage.', 'Psychic Screech (Hybrid Form Only; Recharges after a Short or Long Rest)': ""The deep scion emits a terrible scream audible within 300 feet. Creatures within 30 feet of the deep scion must succeed on a DC 13 Wisdom saving throw or be stunned until the end of the deep scion's next turn. In water, the psychic screech also telepathically transmits the deep scion's memories of the last 24 hours to its master, regardless of distance, so long as it and its master are in the same body of water.\n\nSource:Volo's Guide to Monsters""}",9d8+27,None
Deer,13,4,50 ft.,11,16,11,2,14,5,,,None,None,None,None,,,0 (10 XP),"{'Bite': 'Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.'}",1d8,None
Deinonychus,13,26,40 ft.,15,15,14,4,12,6,,Perception +3,None,None,None,None,,,1 (200 XP),"{'Pounce': 'If the deinonychus moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the deinonychus can make one bite attack against it as a bonus action.', 'Multiattack': 'The deinonychus makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8+2) piercing damage.', 'Claw': ""Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8+2) slashing damage.\n\nSource:Volo's Guide to Monsters""}",4d8+8,natural armor
Demilich,20,80,"0 ft., fly 30 ft. (hover)",1,20,10,20,17,20,"Con +6, Int +11, Wis +9, Cha +11",,"necrotic, poison, psychic, bludgeoning, piercing, and slashing from nonmagical weapons","ludgeoning, piercing, and slashing from magic weapons",None,"charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, prone, stunned",truesight 120 ft.,,"18 (20,000 XP)","{'Avoidance': 'If the demilich is subjected to an effect that allows it to make a saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.', 'Legendary Resistance (3/Day)': 'If the demilich fails a saving throw, it can choose to succeed instead.', 'Turn Immunity': 'The demilich is immune to effects that turn undead.', 'Howl (Recharge 5-6)': 'The demilich emits a bloodcurdling howl. Each creature within 30 feet of the demilich that can hear the howl must succeed on a DC 15 Constitution saving throw or drop to 0 hit points. On a successful save, the creature is frightened until the end of its next turn.', 'Life Drain': 'The demilich targets up to three creatures that it can see within 10 feet of it. Each target must succeed on a DC 19 Constitution saving throw or take 21 (6d6) necrotic damage, and the demilich regains hit points equal to the total damage dealt to all targets.', 'Legendary Actions': ""The demilich can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The demilich regains spent legendary actions at the start of its turn."", 'Flight': 'The demilich flies up to half its flying speed.', 'Cloud of Dust': ""The demilich magically swirls its dusty remains. Each creature within 10 feet of the demilich, including around a corner, must succeed on a DC 15 Constitution saving throw or be blinded until the end of the demilich's next turn. A creature that succeeds on the saving throw is immune to this effect until the end of the demilich's next turn."", 'Energy Drain (Costs 2 Actions)': ""Each creature with in 30 feet of the demilich must make a DC 15 Constitution saving throw. On a failed save, the creature's hit point maximum is magically reduced by 10 (3d6). If a creature's hit point maximum is reduced to 0 by this effect, the creature dies. A creature's hit point maximum can be restored with the greater restoration spell or similar magic."", 'Vile Curse (Costs 3 Actions)': 'The demilich targets one creature it can see within 30 feet of it. The target must succeed on a DC 15 Wisdom saving throw or be magically cursed. Until the curse ends, the target has disadvantage on attack rolls and saving throws. The target can repeat the saving throw at the end of each of its turns, ending the curse on a success.'}",20d4,natural armor
Demogorgon,22,496,"50 ft., swim 50 ft.",29,14,26,20,17,25,"Dex +10, Con +16, Wis +11, Cha +15","Insight +11, Perception +19","poison; bludgeoning, piercing, and slashing that is nonmagical","cold, fire, lightning",None,"charmed, exhaustion, frightened, poisoned",truesight 120 ft.,"all, telepathy 120 ft.","26 (90,000 XP)","{'Innate Spellcasting': ""Demogorgon's spellcasting ability is Charisma (spell save DC 23). Demogorgon can innately cast the following spells, requiring no material components:\n\nAt will: detect magic, major image\n\n3/day each: dispel magic, fear, telekinesis\n\n1/day each: feeblemind, project image"", 'Legendary Resistance (3/Day)': 'If Demogorgon fails a saving throw, he can choose to succeed instead.', 'Magic Resistance': 'Demogorgon has advantage on saving throws against spell and other magic effects.', 'Magic Weapon': ""Demogorgon's weapon attacks are magical"", 'Two Heads': 'Demogorgon has advantage on saving throws against being blinded, defened, stunned, and knocked unconscious.', 'Multiattack': 'Demogorgon makes two tentacle attacks.', 'Tentacle': 'Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 35 (4d12 + 9) bludgeoning damage. If the target is a creature, it must succeed on a DC 23 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if its hit point maximum is reduced to 0.', 'Gaze': ""Demogorgon turns his magical gaze toward one creature that he can see within 120 feet of him. That target must make a DC 23 Wisdom saving throw. Unless the target is incapacitated, it can avert its eyes to avoid the gaze and to automatically succeed on the save. If the target does so, it can't see Demogorgon until the start of his next turn. If the target looks at him in the meantime, it must immediately make the save.\n\nIf the target fails the save, the target suffers one of the following effects of Demogorgon's choice or at random:\n\n1. Beguiling Gaze. The target is stunned until the start of Demogorgon's next turn or until Demogorgon is no longer within line of sight.\n\n2. Hypnotic Gaze. The target is charmed by Demogorgon until the start of Demogorgon's next turn. Demogorgon chooses how the charmed target uses its actions, reactions, and movement. Because this gaze requires Demogorgon to focus both heads on the target, he can't use his Maddening Gaze legendary action until the start of his next turn.\n\n3. Insanity Gaze. The target suffers the effect of the confusion spell without making a saving throw. The effect lasts until the start of Demogorgon's next turn. Demogorgon doesn't need to concentrate on the spell."", 'Legendary Actions': ""Demogorgon can take 3 legendary actions, choosing from the options below. Only one legendary action can be used at a time and only at the end of another creautre's turn. Demogorgon regains spent legendary actions at the start of his turn."", 'Tail': 'Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 31 (4d10 + 9) bludgeoning damage plus 22 (4d10) necrotic damage.', 'Maddening Gaze': 'Demogorgon uses his Gaze action, and must choose either the Beguiling Gaze or the Insanity Gaze effect.\n\nSource:Out of the Abyss'}",34d12+272,natural armor
Derro,13,13,30 ft.,9,14,12,11,5,9,,Stealth +4,None,None,None,None,darkvision 120 ft.,"Dwarvish, Undercommon",1/4 (50 XP),"{'Insanity': 'The derro has advantage on saving throws against being charmed or frightened.', 'Magic Resistance': 'The derro has advantage on saving throws against spells and other magical effects.', 'Sunlight Sensitivity': 'While in sunlight, the derro has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.', 'Hooked Shortspear': 'Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 (1d4-1) piercing damage. If the target is a creature, the derro can choose to deal no damage and try to trip the target instead, in which case the target must succeed on a DC 9 Strength saving throw or fall prone.', 'Light Repeating Crossbow': 'Ranged Weapon Attack: +4 to hit, range 40/160 ft., one target. Hit: 6 (1d8+2) piercing damage.\n\nSource:Out of the Abyss'}",3d6+3,leather armor
Derro Savant,13,49,30 ft.,9,14,12,11,5,14,,Stealth +4,None,None,None,None,darkvision 120 ft.,"Dwarvish, Undercommon",3 (700 XP),"{'Insanity': 'The derro has advantage on saving throws against being charmed or frightened.', 'Magic Resistance': 'The derro has advantage on saving throws against spells and other magical effects.', 'Sunlight Sensitivity': 'While in sunlight, the derro has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.', 'Spellcasting': ""The derro is a 5th-level spellcaster. It's spellcasting ability is Charisma (save DC 12, +4 to hit with spell attacks). The derro knows the following sorcerer spells:\n\nCantrips (at will): acid splash, light, mage hand, message, ray of frost\n\n1st level (4 slots): burning hands, chromatic orb, sleep\n\n2nd level (3 slots): invisibility, spider climb\n\n3rd level (2 slots): blink, lightning bolt"", 'Hooked Shortspear': 'Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 (1d4-1) piercing damage. If the target is a creature, the derro can choose to deal no damage and try to trip the target instead, in which case the target must succeed on a DC 9 Strength saving throw or fall prone.', 'Light Repeating Crossbow': 'Ranged Weapon Attack: +4 to hit, range 40/160 ft., one target. Hit: 6 (1d8+2) piercing damage.\n\nSource:Out of the Abyss'}",11d6+11,leather armor
Deva,17,136,"30 ft., fly 90 ft.",18,18,18,17,20,20,"Wis +9, Cha +9","Insight +9, Perception +9",None,"radiant, bludgeoning, piercing, and slashing from nonmagical weapons",None,"charmed, exhaustion, frightened",darkvision 120 ft.,"all, telepathy 120 ft.","10 (5,900 XP)","{'Angelic Weapons': ""The deva's weapon attacks are magical. When the deva hits with any weapon, the weapon deals an extra 4d8 radiant damage (included in the attack)."", 'Innate Spellcasting': ""The deva's spellcasting ability is Charisma (spell save DC 17). The deva can innately cast the following spells, requiring only verbal components: \n\nAt will: detect evil and good\n\n1/day each: commune, raise dead"", 'Magic Resistance': 'The deva has advantage on saving throws against spells and other magical effects.', 'Multiattack': 'The deva makes two melee attacks.', 'Mace': 'Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 18 (4d8) radiant damage.', 'Healing Touch (3/Day)': 'The deva touches another creature. The target magically regains 20 (4d8 + 2) hit points and is freed from any curse, disease, poison, blindness, or deafness.', 'Change Shape': ""The deva magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the deva's choice).\n\nIn a new form, the deva retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and special senses are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks.""}",16d8+64,natural armor
Devourer,16,178,30 ft.,20,12,20,13,10,16,,,poison,"cold, fire, lightning",None,poisoned,darkvision 120 ft.,"Abyssal, telepathy 120 ft.","13 (10,000 XP)","{'Multiattack': 'The devourer makes two claw attacks and can use either Imprison Soul or Soul Rend.', 'Claw': 'Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 12 (2d6+5) slashing damage plus 21 (6d6) necrotic damage.', 'Imprison Soul': ""The devourer chooses a living humanoid with 0 hit points that it can see within 30 feet of it. That creature is teleported inside the devourer's ribcage and imprisoned there. A creature imprisoned in this manner has disadvantage on death saving throws. If it dies while imprisoned, the devourer regains 25 hit points, immediately recharges Soul Rend, and gains an additional action on its next turn. Additionally, at the start of its next turn, the devourer regurgitates the slain creature as a bonus action, and the creature becomes an undead. If the victim had 2 or fewer Hit Dice, it becomes a zombie. if it had 3 to 5 Hit Dice, it becomes a ghoul. Otherwise, it becomes a wight. A devourer can imprison only one creature at a time."", 'Soul Rend (Recharge 6)': ""The devourer creates a vortex of life-draining energy in a 20-foot radius centered on itself. Each humanoid in that area must make a DC 18 Constitution saving throw, taking 44 (8d10) necrotic damage on a failed save, or half as much damage on a successful one. Increase the damage by 10 for each living humanoid with 0 hit points in that area.\n\nSource:Volo's Guide to Monsters""}",17d10+85,natural armor
Dimetrodon,12,19,"30 ft., swim 20 ft.",14,10,15,2,10,5,,Perception +2,None,None,None,None,,,1/4 (50 XP),"{'Source': ""Volo's Guide to Monsters, p. 139"", 'Bite': ""Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6+2) piercing damage.\n\nSource:Volo's Guide to Monsters""}",3d8+6,natural armor
